,0
364,3050974434
365,3141133949
366,3141949258
367,3141133901
368,3051960017
369,3060218547
370,3140421218
371,3140707575
372,3140596910
373,3140120616
374,5170900438
375,3051649821
376,3061630325
377,3140558731
378,3062520057
379,3060380373
380,3051733103
381,3062007613
382,3062832383
383,3064100615
384,3142608764
385,3142006139
386,6252401051
387,3064720063
388,3064772993
389,3140184717
390,3141207278
391,3063724492
392,3052666232
393,3051925970
394,3141077182
395,3141413207
396,3141774452
397,5381400915
398,4721600017
399,3141618278
400,3051111617
401,3142013038
402,3051950407
403,1860201030
404,3058188405
405,3140305905
406,3060429349
407,8706600287
408,3141528196
409,3654700353
410,3063722553
411,3141657534
412,3140596434
413,3052283155
414,3052509840
415,3140618191
416,3140249677
417,3141203307
418,3142311574
419,3141506611
420,1630401711
421,3140479724
422,3053087739
423,3141303755
424,3052439522
425,4360401400
426,3180100102
427,3140403205
428,3141836192
429,3059938856
430,3051583818
431,3051632882
432,3140408156
433,3064758889
434,3071121824
435,7066000043
436,3051622818
437,3140163949
438,3140742946
439,3055590479
440,3051398374
441,3142816555
442,3140915986
443,3141931796
444,3062870655
445,3142233964
446,3142058146
447,3180156815
448,3054717982
449,3051799594
450,3063034725
451,3140558842
452,3051730071
453,3142290679
454,3140858687
455,3051433494
456,1111535462
457,3052887100
458,3062641928
459,3062213332
460,3141274914
461,3052055897
462,3064723342
463,3052308696
464,3050679480
465,3062531990
466,3140851030
467,3052286341
468,3050739388
469,3051330938
470,3063522995
471,3052981476
472,3140644743
473,3140403374
474,3142677617
475,4682500612
476,3062840603
477,3140833139
478,3140141867
479,3052440126
480,3140309895
481,3140398345
482,3060709359
483,3062009912
484,3051112066
485,3063430256
486,3053047794
487,3141909372
488,3141339248
489,3141855393
490,3053166667
491,3141792163
492,3053248948
493,3060193933
494,7960600063
495,3140428958
496,3062420157
497,4680901246
498,3142036934
499,6055900365
500,3141605787
501,3140742325
502,3080130477
503,3140912937
504,3140911165
505,5680801461
506,3063512615
507,3052213552
508,3140700683
509,3101015049
510,3051919949
511,3141303395
512,3141585052
513,3064607253
514,3140138979
515,3054711163
516,3140185389
517,3142469146
518,3053330367
519,3140184508
520,3062013231
521,3142211295
522,3442600496
523,3062829743
524,3062636008
525,3140733020
526,3140225995
527,4890901369
528,3062339886
529,5063181747
530,3051273828
531,3051157189
532,3063700355
533,3062012945
534,3052762437
535,3060421691
536,3052349095
537,3052213343
538,5260100514
539,3141333977
540,8430800344
541,3060240622
542,3062809392
543,3140481327
544,3962001169
545,3140708405
546,3062415085
547,3140534122
548,2280405542
549,3051077932
550,3793700222
551,3051649952
552,3162100477
553,3060172340
554,3052812351
555,1464700596
556,3062012528
557,3050243460
558,6493300313
559,6340200845
560,4030181723
561,3050751252
562,3142280278
563,3142430414
564,5934500482
565,3141136058
566,3141529458
567,6891401060
568,4643700608
569,3140190261
570,3141239936
571,3052213270
572,3141029303
573,3051633014
574,4216600426
575,3062543351
576,6184900265
577,3141311594
578,3141355821
579,3149288628
580,3140628608
581,3052178164
582,8966000195
583,7970901033
584,2086600371
585,3053289406
586,3142006084
587,3051159789
588,3050181017
589,3140450498
590,3140478384
591,3062007291
592,3051476756
593,2191463042
594,3062007874
595,4086005974
596,3062217866
597,3052484293
598,3060809114
599,3142785604
600,3063033347
601,3141321812
602,3064723186
603,3141302872
604,3053187662
605,3051492135
606,4941000975
607,3063708304
608,3140169604
609,3510800340
610,3062832480
611,3052878353
612,3067006579
613,3052032138
614,3142900235
615,3062206016
616,3063730830
617,3060292528
618,3052082735
619,4851800661
620,3051673734
621,3052835427
622,3080951518
623,3060373004
624,6270401893
625,2734800274
626,3064730538
627,7161400887
628,3140191237
629,3141309007
630,3141206172
631,3050794848
632,3400301757
633,8295700249
634,3064728217
635,3142218264
636,7302000472
637,3141500470
638,2969100268
639,7132600746
640,3141839786
641,3052081264
642,3052102024
643,3141133935
644,3142900410
645,3141951088
646,3140185773
647,3052541781
648,3062618577
649,3062828889
650,3052261957
651,3051350384
652,3062723418
653,3063533605
654,3050540178
655,3141313516
656,1072089153
657,3062544175
658,3141205187
659,3051081528
660,1665500329
661,3063555860
662,3052448604
663,5580501347
664,3051109294
665,3140437423
666,3052075160
667,3050992048
668,3063709905
669,3142248846
670,3180115833
671,3051223347
672,3142023502
673,3141818312
674,3062221787
675,3051676804
676,3140478443
677,2235400663
678,3052888701
679,3141103708
680,2034862174
681,3063556025
682,3140192217
683,3053158885
684,3052178145
685,3141350618
686,2811900799
687,3140310387
688,3052120212
689,3050858927
690,3140434498
691,3053040506
692,3053359869
693,3053268037
694,3141388297
695,3052248269
696,3052477093
697,3140248950
698,3142422802
699,3050275661
